,,,,,short term DS2016 - DM2016,,Long term comparison 1: DM2030 - DM2016,,,Long term comparison 2: DS2030 - DM2016,,,Change in nuisance level,,,,,Total number of dwellings,185,,,,
,DM 2016,DM 2030,DS 2016,DS 2030,"LA10,18hr change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Impact magnitude,DM,DS,,,,Other sesntive receptors,2,,,,
North Close 21,62.3,62.6,62.0,62.7,-0.3,-,0.3,0.3,Negligible,0.4,0.4,Negligible,1%,1%,,,,,,,,,
North Close 2,64.2,64.6,64.0,64.6,-0.2,-,0.4,0.4,Negligible,0.4,0.4,Negligible,1%,1%,,,,,,,,,
North Close 3,63.9,64.3,63.6,64.3,-0.3,-,0.4,0.4,Negligible,0.4,0.4,Negligible,1%,1%,,,,,,,,,
North Close 4,64.0,64.4,63.8,64.5,-0.2,-,0.4,0.4,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
North Close 5,60.9,61.3,60.7,61.4,-0.2,-,0.4,0.4,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
North Close 6,58.5,59.0,58.3,59.1,-0.2,-,0.5,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
North Lane 17,59.0,59.7,55.8,56.5,-3.2,-,0.7,0.6,Negligible,-2.5,-2.3,-,1%,-3%,,,,,,,,,
North Lane 19,58.7,59.5,55.1,55.8,-3.6,-,0.8,0.7,Negligible,-2.9,-2.6,-,1%,-3%,,,,,,,,,
North Lane 21,58.8,59.6,55.2,56.0,-3.6,-,0.8,0.7,Negligible,-2.8,-2.5,-,1%,-3%,,,,,,,,,
North Lane 23,58.6,59.4,54.7,55.4,-3.9,-,0.8,0.7,Negligible,-3.2,-2.9,-,1%,-3%,,,,,,,,,
North Lane 27,58.7,59.5,55.0,55.7,-3.7,-,0.8,0.7,Negligible,-3.0,-2.7,-,1%,-3%,,,,,,,,,
North Lane 29,58.6,59.4,54.8,55.6,-3.8,-,0.8,0.7,Negligible,-3.0,-2.7,-,1%,-3%,,,,,,,,,
North Lane 31,58.8,59.6,55.0,55.8,-3.8,-,0.8,0.7,Negligible,-3.0,-2.7,-,1%,-3%,,,,,,,,,
The Green 41,65.4,65.7,62.3,63.1,-3.1,-,0.3,0.3,Negligible,-2.3,-2.1,-,1%,-4%,,,,,,,,,
The Green 39,65.3,65.6,62.2,63.0,-3.1,-,0.3,0.3,Negligible,-2.3,-2.1,-,1%,-4%,,,,,,,,,
The Green 37,65.2,65.6,62.0,62.8,-3.2,-,0.4,0.4,Negligible,-2.4,-2.2,-,1%,-5%,,,,,,,,,
The Green 35,65.0,65.4,61.6,62.4,-3.4,-,0.4,0.4,Negligible,-2.6,-2.3,-,1%,-5%,,,,,,,,,
El Sub Sta 1,62.2,62.7,61.9,62.7,-0.3,-,0.5,0.5,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
El Sub Sta 2,62.3,62.9,62.1,62.9,-0.2,-,0.6,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
El Sub Sta 3,62.1,62.7,61.9,62.6,-0.2,-,0.6,0.5,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
El Sub Sta 4,62.3,62.9,62.1,62.9,-0.2,-,0.6,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
El Sub Sta 5,62.4,62.9,62.2,62.9,-0.2,-,0.5,0.5,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
El Sub Sta 8,59.0,59.6,58.7,59.5,-0.3,-,0.6,0.5,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
El Sub Sta 9,59.0,59.5,58.9,59.6,-0.1,-,0.5,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
El Sub Sta 10,58.7,59.2,58.6,59.4,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
El Sub Sta 11,58.3,58.9,58.3,59.0,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Greenlea 2,52.3,52.8,52.1,52.9,-0.2,-,0.5,0.5,Negligible,0.6,0.5,Negligible,0%,0%,,,,,,,,,
Greenlea 3,52.4,53.0,52.2,53.0,-0.2,-,0.6,0.5,Negligible,0.6,0.5,Negligible,0%,0%,,,,,,,,,
Greenlea 6,62.1,62.7,62.0,62.8,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Greenlea 7,52.5,53.1,52.6,53.3,0.1,Negligible,0.6,0.5,Negligible,0.8,0.7,Negligible,0%,10%,,,,,,,,,
Greenlea 8,62.1,62.7,62.0,62.8,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Greenlea 9,61.8,62.4,61.7,62.4,-0.1,-,0.6,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
Greenlea 10,61.5,62.1,61.4,62.2,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
The Paddock 5,59.7,60.3,59.6,60.4,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
The Paddock 6,60.4,61.0,60.3,61.1,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
The Paddock 7,60.8,61.4,60.8,61.5,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
The Paddock 8,61.2,61.7,61.1,61.9,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Martindale Close 2,59.2,59.8,59.0,59.8,-0.2,-,0.6,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
Martindale Close 3,59.1,59.7,58.9,59.7,-0.2,-,0.6,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
